Nombre;Temporada;Equipo;Partidos;Minutos;Puntos;T2 Anotados;T2 Lanzados;% T2;T3 Anotados;T3 Lanzados;% T3;T1 Anotados;T1 Lanzados;% T1;Reb_Ofensivos;Reb_Defensivos;Rebotes;Asistencias;Robos;Perdidas;Tapones;Tapones Recibidos;Mates;Faltas Cometidas;Faltas Recibidas;Valoracion
GOMEZ FERREIROS, SARA;2008;EXTRUGASA;24.0;31.79;6.83;1.25;3.62;0.34;0.92;3.58;0.26;1.58;2.5;0.63;0.46;1.25;1.71;1.71;1.38;2.33;0.04;0.12;0.0;2.54;2.38;3.08
SILVA DOS SANTOS, CINTIA;2006;REAL CLUB CELTA VIGOURBAN;24.0;31.78;10.5;4.12;10.04;0.41;0.04;0.29;0.14;2.12;2.92;0.73;1.79;4.58;6.38;0.79;0.92;2.21;1.21;0.42;0.0;2.71;3.71;11.21
JORDANA BOFILL, NOEMI;2013;SPAR UNIGIRONA;22.0;31.78;12.41;1.27;3.73;0.34;2.64;6.91;0.38;1.95;2.59;0.75;0.55;2.09;2.64;2.95;1.09;2.68;0.05;0.14;0.0;1.82;2.68;9.82
GALECH AMILLANO, SONIA;1997;CBN;22.0;31.77;3.86;1.41;3.41;0.41;0.05;0.18;0.25;0.91;2.14;0.43;0.36;2.32;2.68;0.86;1.55;2.05;0.0;0.18;0.0;1.91;2.45;3.91
ALONSO LOPEZ, MARIA PILAR;1998;POPULAR BASQUET GODELLA;22.0;31.77;12.41;5.14;10.0;0.51;0.09;0.14;0.67;1.86;3.09;0.6;1.45;6.5;7.95;1.09;1.32;2.05;0.73;0.45;0.0;2.82;3.27;15.32
MUJANOVIC, RAZIJA;2006;HONDARRIBIA - IRÚN;26.0;31.77;10.69;4.23;7.77;0.54;0.0;0.04;0.0;2.23;3.27;0.68;2.5;6.23;8.73;0.92;0.92;2.69;1.08;0.31;0.0;3.19;3.65;15.19
JONES, ALEXIS MICHELLE;2017;NISSAN  AL-QÁZERES EXTREMADURA;11.0;31.77;21.64;4.18;8.73;0.48;3.27;8.45;0.39;3.45;4.18;0.83;0.45;3.36;3.82;2.55;1.45;3.27;0.36;0.36;0.0;1.91;3.73;17.55
COULIBALY, MARIAM ALOU;2024;CLUB JOVENTUT BADALONA;28.0;31.77;22.04;6.75;10.96;0.62;1.07;3.29;0.33;5.32;6.36;0.84;2.75;8.04;10.79;1.11;1.18;2.36;0.39;0.32;0.07;2.32;5.68;29.04
SANCHEZ FERNANDEZ, ISABEL;2006;ACIS INCOSA LEON;26.0;31.75;14.92;3.73;7.46;0.5;1.12;2.65;0.42;4.12;5.23;0.79;1.38;2.65;4.04;1.88;1.12;2.58;0.15;0.96;0.27;1.88;5.54;15.85
STANACEV, ALEKSANDRA;2018;QUESOS EL PASTOR;26.0;31.74;8.27;1.81;4.62;0.39;0.73;3.65;0.2;2.46;2.85;0.86;0.62;4.04;4.65;3.77;1.38;3.27;0.0;0.27;0.0;1.27;3.92;11.08
SOTIRIOU, AIKATERINA;2013;BEROIL - CIUDAD DE BURGOS;11.0;31.72;10.09;2.64;7.09;0.37;0.91;2.64;0.34;2.09;2.73;0.77;1.36;4.36;5.73;1.45;1.0;4.18;0.18;0.18;0.0;2.09;2.82;8.0
SUAREZ UTRERO, ANA MARIA;2016;STAR CENTER-UNI FERROL;19.0;31.72;13.95;4.53;8.11;0.56;0.84;3.05;0.28;2.37;2.89;0.82;1.21;2.53;3.74;3.95;1.05;3.95;0.0;0.42;0.0;3.0;3.32;12.32
FERRAGUT CASTILLO, MARINA;1997;TONY ROMA´S REAL CANOE NC;10.0;31.7;15.7;5.1;10.6;0.48;1.1;1.9;0.58;2.2;2.9;0.76;2.1;4.5;6.6;0.7;0.8;2.0;0.1;0.5;0.0;3.0;3.3;14.7
CARTER, AMISHA LOLINA;2016;LOINTEK GERNIKA BIZKAIA;19.0;31.7;16.68;7.05;12.37;0.57;0.0;0.16;0.0;2.58;3.42;0.75;2.79;6.0;8.79;0.63;2.21;2.0;0.47;0.16;0.0;2.05;3.37;21.63
LIEPKALNE, DITA;2015;MANN-FILTER;26.0;31.69;7.62;2.12;4.92;0.43;0.88;2.77;0.32;0.73;0.92;0.79;0.77;3.42;4.19;0.85;1.04;1.23;0.04;0.15;0.0;2.46;1.23;6.23
INFANTE NUEZ, LORENA;2009;PALACIO DE CONGRESOS DE IBIZA;26.0;31.66;7.54;0.92;2.42;0.38;1.62;4.81;0.34;0.85;1.12;0.76;0.42;2.19;2.62;3.42;1.23;2.27;0.0;0.08;0.0;1.46;2.15;8.19
LIZARAZU HERRERA, MARINA;2020;QUESOS EL PASTOR;24.0;31.66;9.12;3.08;7.54;0.41;0.62;2.58;0.24;1.08;1.5;0.72;1.08;1.75;2.83;2.5;1.54;2.54;0.0;0.17;0.0;2.04;2.46;7.04
LOPEZ VERDU, ALICIA;1998;POPULAR BASQUET GODELLA;25.0;31.64;14.56;3.88;8.84;0.44;0.8;2.32;0.34;4.4;5.56;0.79;0.96;3.12;4.08;1.72;1.76;2.56;0.2;0.16;0.0;2.72;3.36;12.6
CASTRO MARQUES, IZIANE;2008;EXTRUGASA;13.0;31.64;20.54;5.77;11.77;0.49;1.85;5.08;0.36;3.46;4.92;0.7;0.54;3.31;3.85;1.62;1.46;3.08;0.23;0.15;0.0;2.54;4.08;15.31
KRESOVIC, INES;2008;GRAN CANARIA LA CAJA DE CANARIAS;22.0;31.63;14.77;2.86;7.41;0.39;1.77;5.95;0.3;3.73;4.64;0.8;0.73;3.18;3.91;1.91;1.36;3.32;0.0;0.32;0.0;3.32;4.82;10.18
ROVIRA RODRIGUEZ, MARIA DEL MAR;2005;ACIS INCOSA LEON;26.0;31.61;7.27;1.19;3.35;0.36;1.23;3.96;0.31;1.19;1.96;0.61;1.31;3.12;4.42;2.62;1.81;2.58;0.15;0.31;0.0;2.96;2.38;7.15
ABALDE DIAZ, TAMARA;2016;C.R.E.F. ¡HOLA!;24.0;31.6;10.46;3.5;9.83;0.36;0.38;1.62;0.23;2.33;3.83;0.61;2.92;3.75;6.67;1.42;0.5;2.5;0.17;0.42;0.0;2.62;4.29;8.88
HERRERA BOXO, LAURA;2012;UNB OBENASA;19.0;31.59;11.11;4.53;7.32;0.62;0.0;0.0;0.0;2.05;2.63;0.78;2.0;3.05;5.05;0.89;0.37;2.0;0.11;0.32;0.0;2.05;2.84;12.63
GIMENO MARTINEZ, VEGA;2021;CASADEMONT ZARAGOZA;29.0;31.59;12.0;2.31;5.21;0.44;1.72;4.72;0.36;2.21;2.9;0.76;0.72;4.72;5.45;2.21;0.86;2.31;0.1;0.21;0.0;1.59;3.21;13.34
GARCIA PIERO, MARIA BEGOA;2001;YAYA MARIA BREOGAN;26.0;31.58;13.23;2.85;7.23;0.39;1.31;5.15;0.25;3.62;4.38;0.82;0.58;4.0;4.58;2.96;2.77;2.77;0.04;0.35;0.0;3.15;4.12;12.42
SARR, OUMOUL KHAIRY;2018;IDK GIPUZKOA;26.0;31.58;10.62;4.38;8.5;0.52;0.12;0.5;0.23;1.5;1.96;0.76;1.5;4.46;5.96;3.04;1.12;3.73;0.81;0.23;0.0;2.46;2.27;12.42
MORENO MELIAN, ARMINDA;2004;ACIS-SUFI LEON;6.0;31.57;11.33;3.5;7.33;0.48;0.17;1.0;0.17;3.83;5.17;0.74;1.0;3.33;4.33;1.67;1.83;4.0;0.17;0.67;0.0;2.33;3.0;9.33
CRUZ LEBRATO, ANNA;2011;RIVAS ECOPOLIS;26.0;31.54;11.46;3.58;7.65;0.47;0.73;2.04;0.36;2.12;2.81;0.75;1.27;4.19;5.46;2.62;1.88;1.73;0.19;0.15;0.0;1.92;3.12;14.85
DELAERE, ANTONIA LAURA A.;2021;CASADEMONT ZARAGOZA;29.0;31.54;10.31;3.07;5.9;0.52;0.86;2.0;0.43;1.59;1.66;0.96;0.76;2.45;3.21;2.1;0.83;2.1;0.17;0.28;0.0;1.86;2.03;10.66
REDMON, JULIUNN;2022;SPAR GRAN CANARIA;8.0;31.54;9.62;2.0;6.88;0.29;1.75;4.75;0.37;0.38;0.62;0.6;1.12;2.62;3.75;2.38;1.0;2.0;0.25;0.25;0.0;1.62;1.5;6.75
FORSTER, JULIA CHRISTINE;2017;LACTURALE ART ARASKI;26.0;31.53;9.62;3.77;9.88;0.38;0.04;0.19;0.2;1.96;2.58;0.76;3.08;5.85;8.92;2.31;2.27;2.0;0.77;0.38;0.0;2.92;3.08;14.77
MC PHEE, BRITTANY ANNE;2019;QUESOS EL PASTOR;22.0;31.53;14.86;4.68;10.14;0.46;0.73;3.32;0.22;3.32;4.77;0.7;2.68;4.91;7.59;1.82;1.68;2.41;0.64;0.45;0.0;2.73;4.0;15.5
DONAIRE MALAGELADA, ELSA;2004;ARRANZ - JOPISA BURGOS;26.0;31.52;5.04;1.62;2.96;0.55;0.31;2.31;0.13;0.88;1.65;0.53;1.23;3.54;4.77;1.08;1.31;2.23;0.62;0.0;0.0;2.23;2.0;6.23
MIELOSZYNSKA-ZWOLAK, DARIA;2011;CAJA RURAL TINTOS DE TORO;12.0;31.51;12.92;3.17;6.67;0.47;1.58;6.0;0.26;1.83;2.0;0.92;2.42;3.58;6.0;1.33;1.42;2.17;0.58;0.17;0.0;2.92;2.0;10.92
MAGLISCEAU, MICHELLE YVONNE;2001;ANDALUCIA - AIFOS;26.0;31.5;15.58;5.12;8.65;0.59;0.62;1.58;0.39;3.5;4.85;0.72;2.04;4.69;6.73;1.23;0.77;3.15;0.08;0.42;0.0;3.5;4.35;15.81
GRANT-ALLEN, SAICHA PATRICA;2017;EMBUTIDOS PAJARIEL BEMBIBRE PDM;11.0;31.5;8.55;3.82;8.18;0.47;0.0;0.27;0.0;0.91;1.27;0.71;1.55;5.91;7.45;0.64;0.73;2.0;1.55;0.09;0.0;1.55;3.0;13.27
MONDT, ANKE DE;2004;EXTRUGASA;26.0;31.49;10.35;2.27;5.38;0.42;1.65;5.12;0.32;0.85;1.19;0.71;0.96;3.12;4.08;1.5;1.46;1.88;0.0;0.15;0.0;2.5;1.96;7.88
HERNANDEZ ESTEBAN, SILVIA;2005;YAYA MARÍA PORTA XI;26.0;31.49;8.12;1.54;4.35;0.35;0.92;4.12;0.22;2.27;3.23;0.7;0.65;3.27;3.92;3.58;1.73;2.54;0.08;0.27;0.0;2.42;3.46;8.69
KERR, CHLOE DARIELLE;2010;C.B. OLESA;13.0;31.49;10.54;4.31;10.15;0.42;0.0;0.0;0.0;1.92;3.38;0.57;1.69;5.38;7.08;1.0;0.46;2.15;0.92;0.31;0.0;2.77;3.08;10.54
ASURMENDI VILLAVERDE, MARIA DEL CARMEN;2014;C.B. CONQUERO HUELVA WAGEN;26.0;31.49;7.31;1.65;3.42;0.48;0.77;3.31;0.23;1.69;2.23;0.76;0.31;2.54;2.85;4.31;2.15;2.12;0.0;0.08;0.0;1.15;2.5;10.92
PINA TOLOSA, MARIA;2016;LOINTEK GERNIKA BIZKAIA;26.0;31.49;11.23;2.69;7.04;0.38;1.35;3.65;0.37;1.81;2.15;0.84;0.69;3.15;3.85;1.77;0.88;1.88;0.15;0.0;0.0;2.27;2.62;9.35
MONTENEGRO SANTANA, RITA ESTHER;2015;EMBUTIDOS PAJARIEL BEMBIBRE PDM;25.0;31.48;12.48;3.72;8.12;0.46;1.08;3.24;0.33;1.8;2.04;0.88;1.32;5.76;7.08;2.8;0.76;2.84;0.2;0.16;0.0;2.8;2.2;12.92
ALLISON, RACHEL LINDSAY;2011;JOPISA CIUDAD DE BURGOS;13.0;31.46;12.85;4.08;9.62;0.42;0.77;2.15;0.36;2.38;3.0;0.79;3.31;3.15;6.46;0.62;1.77;2.31;0.31;0.85;0.0;2.62;2.54;11.23
JOHNSON, SHANNON REGINA;2008;EBE IBIZA-PDV;18.0;31.45;13.61;3.44;6.67;0.52;1.33;3.56;0.38;2.72;3.61;0.75;1.0;1.94;2.94;2.89;1.28;3.06;0.0;0.06;0.0;3.06;4.61;12.83
HOUSTON, CHARDE LAKISHIA;2013;SPAR UNIGIRONA;11.0;31.45;19.64;8.09;14.64;0.55;0.27;2.73;0.1;2.64;3.36;0.78;1.27;5.82;7.09;1.55;2.18;3.36;1.55;0.09;0.0;3.18;4.45;20.09
EDWARDS, ARIEL JOY;2019;IDK EUSKOTREN;22.0;31.44;13.95;3.86;8.55;0.45;1.09;2.77;0.39;2.95;3.86;0.76;1.82;2.68;4.5;0.91;0.82;1.73;0.36;0.68;0.0;1.45;3.55;12.95
ERJAVEC, KARLA;2024;SPAR GRAN CANARIA;30.0;31.44;11.9;2.77;6.73;0.41;1.67;6.13;0.27;1.37;1.83;0.75;0.43;2.3;2.73;2.37;1.2;2.07;0.07;0.47;0.0;2.67;1.93;6.57
MONDT, ANKE DE;2006;ARRANZ-JOPISA BURGOS;26.0;31.43;14.27;2.92;6.5;0.45;2.12;5.46;0.39;2.08;2.23;0.93;0.96;2.46;3.42;2.65;1.69;2.42;0.15;0.12;0.0;2.04;2.5;13.04
ARGELLO CUENCA, PATRICIA;2010;GRAN CANARIA 2014 LA CAJA DE CANARIAS;26.0;31.43;10.92;1.65;3.73;0.44;2.08;5.58;0.37;1.38;1.77;0.78;0.58;2.73;3.31;1.15;0.92;2.38;0.12;0.15;0.0;2.35;2.31;7.88
BROWN, KIESHA LINDSAY;2009;ARGÓN UNI GIRONA;23.0;31.42;11.52;2.7;7.83;0.34;1.13;2.96;0.38;2.74;3.57;0.77;0.78;3.3;4.09;1.91;1.43;2.87;0.0;0.13;0.0;1.61;3.43;10.0
CASTRO MARQUES, IZIANE;2006;HONDARRIBIA - IRÚN;13.0;31.41;18.62;4.92;12.08;0.41;1.85;5.85;0.32;3.23;4.15;0.78;1.08;3.92;5.0;0.85;0.92;2.08;0.23;0.85;0.23;1.85;3.62;12.38
HOPE, KIMBERLY;2000;ANDALUCIA SOLO HAY UNA;10.0;31.4;13.3;4.5;10.0;0.45;0.0;0.0;0.0;4.3;5.7;0.75;3.0;5.4;8.4;1.1;1.5;1.8;1.4;0.1;0.0;2.5;3.8;18.2
FERRAGUT CASTILLO, MARINA;2001;FILTROS MANN ZARAGOZA;25.0;31.4;16.2;5.48;9.56;0.57;0.88;2.04;0.43;2.6;3.76;0.69;1.36;5.28;6.64;1.64;1.12;1.84;0.28;0.28;0.0;3.12;3.64;17.88
LELAS BENKOVIC, KRISTINA;2003;EXTRUGASA;25.0;31.4;10.48;3.92;7.8;0.5;0.04;0.04;1.0;2.52;3.44;0.73;2.6;3.88;6.48;1.16;0.28;3.8;0.28;0.32;0.0;2.6;3.92;11.08
SANCHEZ FERNANDEZ, ISABEL;2005;ACIS INCOSA LEON;26.0;31.4;15.35;4.23;8.88;0.48;0.81;2.73;0.3;4.46;5.27;0.85;1.96;2.54;4.5;2.12;1.42;2.88;0.35;0.65;0.0;2.62;5.12;15.31
BLACE, BOZENA;2007;MANN FILTER ZARAGOZA;13.0;31.4;11.31;2.54;5.77;0.44;1.77;3.69;0.48;0.92;1.23;0.75;0.69;2.23;2.92;0.69;0.62;1.92;0.0;0.23;0.0;1.92;1.38;7.38
REVUELTO SNCHEZ-AGUILERA, MARIA;2004;REAL CLUB CELTA VIGOURBAN;26.0;31.39;7.04;1.54;4.58;0.34;1.08;3.19;0.34;0.73;1.19;0.61;0.88;2.88;3.77;0.65;1.35;1.27;0.31;0.04;0.0;2.31;1.69;5.58
MORENO MELIAN, ARMINDA;2003;C.B. PUIG D`EN VALLS SANTA EULALIA;21.0;31.38;12.19;4.1;8.62;0.48;0.29;1.43;0.2;3.14;4.29;0.73;1.1;2.71;3.81;1.52;1.1;3.38;0.05;0.43;0.0;3.52;3.24;7.76
GALLEGO VICARIO, SANDRA;2005;UNIVERSITAT DE BARCELONA - F.C. BARCELONA;25.0;31.38;13.32;2.44;5.08;0.48;2.28;6.28;0.36;1.6;2.36;0.68;0.56;2.2;2.76;3.32;0.96;2.24;0.08;0.08;0.0;1.6;2.6;11.72
BARANOVIC URUKALO, VANDA;2007;ARRANZ-JOPISA BURGOS;10.0;31.38;12.9;5.2;10.9;0.48;0.2;1.0;0.2;1.9;2.8;0.68;1.3;3.6;4.9;0.5;0.8;1.8;0.1;0.2;0.0;2.1;2.5;10.2
SCHUMACHER, KELLY MARIE;2005;PERFUMERIAS AVENIDA;26.0;31.36;13.46;5.5;11.62;0.47;0.12;0.5;0.23;2.12;3.08;0.69;2.88;6.5;9.38;1.0;0.81;2.31;1.81;0.35;0.0;2.65;3.19;16.88
IVANOVIC, MILICA;2019;CAMPUS PROMETE;22.0;31.36;10.55;1.86;5.45;0.34;1.86;4.91;0.38;1.23;1.41;0.87;0.5;1.95;2.45;1.05;0.82;1.32;0.14;0.32;0.0;1.73;1.32;6.14
WYCKOFF, BROOKE ELIZABETH;2008;USP-CEU MMT ESTUDIANTES;26.0;31.35;7.0;1.42;2.54;0.56;1.15;3.38;0.34;0.69;0.88;0.78;1.77;5.08;6.85;1.15;1.5;2.46;0.62;0.08;0.0;2.92;1.73;9.85
DOMINGUEZ FERNANDEZ, SILVIA;2004;USP CEU - ADECCO ESTUDIANTES;25.0;31.33;10.16;2.64;5.4;0.49;0.64;2.0;0.32;2.96;4.08;0.73;0.72;2.88;3.6;2.28;2.32;3.0;0.08;0.44;0.0;3.08;4.48;11.16
HILL, SAMANTHA ELIZABETH HOLLIDAY;2024;KUTXABANK ARASKI;30.0;31.33;11.73;2.1;4.93;0.43;1.47;4.67;0.31;3.13;3.87;0.81;0.93;1.97;2.9;2.47;1.2;2.33;0.03;0.3;0.03;2.13;3.77;10.87
GODOY, JACQUELINE;2002;SYMEL TENERIFE;16.0;31.31;10.56;2.12;5.75;0.37;0.62;2.38;0.26;4.44;5.44;0.82;0.88;2.06;2.94;3.06;1.75;4.19;0.12;0.31;0.0;3.56;5.12;9.12
NDIAYE DIATTA, ASTOU;2003;RIVAS FUTURA;26.0;31.31;12.77;5.35;10.88;0.49;0.04;0.15;0.25;1.96;2.81;0.7;3.15;4.96;8.12;1.38;1.04;2.85;0.35;0.35;0.0;2.69;3.35;14.62
CUNNINGHAN, DAVALYN;2004;YAYA MARIA BREOGAN;13.0;31.31;13.0;5.69;11.0;0.52;0.0;0.08;0.0;1.62;3.23;0.5;2.46;5.23;7.69;0.46;1.77;3.08;0.08;0.38;0.0;2.77;3.31;13.08
IBEKWE, IFUNANYA DEBBIE;2014;SPAR CITYLIFT GIRONA;25.0;31.31;16.4;6.32;11.76;0.54;0.04;0.12;0.33;3.64;4.88;0.75;2.2;7.92;10.12;1.92;2.36;2.44;0.84;0.24;0.0;2.6;4.16;23.76
CRUZ LEBRATO, ANNA;2008;C.B. OLESA - ESPANYOL;26.0;31.3;13.58;4.54;10.04;0.45;0.58;1.73;0.33;2.77;4.31;0.64;1.31;3.81;5.12;3.42;2.15;3.0;0.12;0.42;0.0;2.38;3.62;14.0
WILLIAMS, BROOQUE CHRISTIA;2017;NISSAN  AL-QÁZERES EXTREMADURA;12.0;31.3;14.08;5.25;11.5;0.46;0.33;2.58;0.13;2.58;3.33;0.78;2.5;2.67;5.17;1.67;1.92;2.83;0.08;0.42;0.0;1.92;2.83;11.33
ASURMENDI VILLAVERDE, MARIA DEL CARMEN;2013;CADI - ICG SOFTWARE;22.0;31.29;8.23;0.95;2.36;0.4;1.5;4.32;0.35;1.82;2.73;0.67;0.27;3.41;3.68;2.55;1.55;1.95;0.0;0.14;0.0;1.32;2.86;10.32
BAVENDAM, KATJA;2009;HONDARRIBIA - IRÚN;26.0;31.28;11.73;4.15;9.12;0.46;0.0;0.65;0.0;3.42;4.58;0.75;2.15;4.85;7.0;0.88;0.77;2.81;1.0;0.23;0.0;2.96;4.88;13.5
DE SOUZA SOBRAL, LEILA;2005;REAL CLUB CELTA VIGOURBAN;24.0;31.27;13.33;4.21;9.83;0.43;0.83;2.17;0.38;2.42;3.88;0.62;2.12;4.12;6.25;1.21;2.21;3.21;0.21;0.29;0.0;3.42;4.0;11.88
DIAZ-LARRAURI CALLEJA, BEATRIZ;1997;A.D. UNIVERSIDAD DE OVIEDO;21.0;31.24;9.14;2.24;5.38;0.42;1.1;3.52;0.31;1.38;2.48;0.56;1.24;2.29;3.52;0.48;1.14;1.33;0.19;0.05;0.0;2.48;2.86;6.81
ANULA ALAMEDA, NIEVES;2001;UNIVERSITAT DE BARCELONA B.F.;26.0;31.23;16.58;4.04;7.31;0.55;2.0;4.73;0.42;2.5;2.96;0.84;0.58;1.62;2.19;2.46;2.04;1.62;0.23;0.27;0.0;2.23;2.62;15.54
ARAMBURU GARAYALDE, LEIRE;2003;P.C. MENDIBIL;26.0;31.23;9.46;1.85;4.08;0.45;1.15;2.96;0.39;2.31;2.73;0.85;0.62;2.0;2.62;1.5;1.35;2.77;0.0;0.19;0.0;2.54;2.62;7.58
SARENAC, RANKICA;2006;RIVAS FUTURA;25.0;31.23;16.88;6.4;11.24;0.57;0.12;0.44;0.27;3.72;4.76;0.78;1.88;5.12;7.0;1.64;0.36;3.6;0.32;0.32;0.0;1.76;4.8;19.12
ARROJO JIMENEZ, MARIA BELEN;2017;"[""SNATT'S FEMENI SANT ADRIA""]";26.0;31.22;11.19;3.27;7.81;0.42;0.85;2.96;0.29;2.12;3.12;0.68;2.04;3.35;5.38;1.31;1.12;1.54;0.27;0.19;0.0;1.38;2.88;11.38
SAMSON, CLEMENTINE;2023;CELTA ZORKA RECALVI;30.0;31.22;9.97;2.63;6.57;0.4;1.13;3.57;0.32;1.3;1.5;0.87;0.8;3.17;3.97;2.63;0.77;1.93;0.1;0.1;0.0;0.97;1.57;9.53
ZLATANOVA, JAKLIN;2011;MANN FILTER ZARAGOZA;25.0;31.21;9.2;3.28;7.44;0.44;0.48;2.8;0.17;1.2;1.96;0.61;1.56;3.92;5.48;2.08;1.4;2.44;0.48;0.4;0.0;1.84;2.2;8.92
MIRCHANDANI VILLAR, LIDIA;2008;GRAN CANARIA LA CAJA DE CANARIAS;13.0;31.2;4.85;0.77;2.31;0.33;0.92;3.31;0.28;0.54;0.62;0.88;0.23;2.46;2.69;2.08;1.15;1.31;0.08;0.23;0.0;1.62;1.46;5.15
KOENEN, TAYLOR SUE;2021;BAXI FERROL;29.0;31.19;13.93;3.62;8.0;0.45;1.72;4.83;0.36;1.52;2.21;0.69;1.52;5.83;7.34;1.86;1.48;2.17;0.14;0.62;0.0;1.97;2.48;14.93
BOUCHARD, CAROLIN RUTH;2001;ANDALUCIA - AIFOS;12.0;31.17;9.5;1.25;2.83;0.44;1.92;4.58;0.42;1.25;1.5;0.83;0.25;1.83;2.08;0.67;1.17;1.08;0.0;0.17;0.0;3.5;1.5;5.67
KELLY, CRISTAL CYMONE;2008;C.B. OLESA - ESPANYOL;26.0;31.17;10.23;3.19;6.38;0.5;0.04;0.12;0.33;3.73;4.81;0.78;1.96;4.19;6.15;0.81;1.38;1.88;0.15;0.31;0.0;2.46;4.85;14.58
DELGADO DIAZ-GUEMES, RAQUEL;1998;REAL CANOE N.C.;25.0;31.16;9.6;3.28;6.36;0.52;0.48;1.68;0.29;1.6;2.16;0.74;0.48;2.36;2.84;1.96;1.64;2.12;0.0;0.16;0.0;1.84;2.0;9.08
UJVARI, ESZTER;2004;C.B. PUIG D`EN VALLS SANTA EULALIA;12.0;31.14;10.08;2.25;5.75;0.39;1.42;3.58;0.4;1.33;2.08;0.64;0.17;1.33;1.5;1.83;1.0;2.33;0.33;0.33;0.0;2.33;2.58;5.92
VALDEMORO MADARIAGA, AMAYA;2004;ROS CASARES VALENCIA;22.0;31.14;17.68;4.05;9.95;0.41;2.23;6.18;0.36;2.91;3.68;0.79;1.55;4.05;5.59;3.09;2.73;3.68;0.64;0.59;0.0;2.0;3.68;16.5
GOMEZ FERREIROS, SARA;2011;RC CELTA BALONCESTO;26.0;31.13;6.31;1.08;3.96;0.27;1.0;3.58;0.28;1.15;1.58;0.73;0.31;2.46;2.77;1.92;1.27;1.96;0.08;0.27;0.0;2.23;1.73;3.73
ZURRO ALFONSO, MARTA;2000;B. CIUDAD DE BURGOS;26.0;31.12;12.92;4.27;8.69;0.49;0.23;0.46;0.5;3.69;4.69;0.79;1.88;4.73;6.62;0.42;1.69;1.23;0.27;0.62;0.0;3.23;4.12;15.31
---, BROOKE ELIZABETH;2002;SYMEL TENERIFE;25.0;31.12;12.44;3.08;6.44;0.48;1.28;3.16;0.41;2.44;3.2;0.76;2.84;6.48;9.32;1.28;1.92;3.0;1.48;0.2;0.0;3.56;3.56;17.24
LOVELACE-TOLBERT, STACEY LYNN;2008;HONDARRIBIA - IRÚN;26.0;31.12;15.69;4.81;10.42;0.46;1.31;3.92;0.33;2.15;2.81;0.77;1.73;5.5;7.23;1.27;1.62;3.54;0.62;0.62;0.0;3.15;3.27;13.5
PINA TOLOSA, MARIA;2014;C.B. CONQUERO HUELVA WAGEN;26.0;31.12;8.65;2.35;5.88;0.4;1.04;3.42;0.3;0.85;1.12;0.76;0.96;3.88;4.85;2.08;0.88;1.92;0.15;0.12;0.0;2.0;1.77;8.15
NYINGIFA, ATONYE JENNIFER;2019;DURAN MAQUINARIA ENSINO;22.0;31.12;11.55;4.14;9.41;0.44;0.41;0.86;0.47;2.05;2.5;0.82;2.95;5.09;8.05;1.64;1.55;1.68;0.36;0.77;0.0;1.55;3.05;16.0
HAMMON, REBECCA LYNN;2006;RIVAS FUTURA;13.0;31.11;17.46;3.77;6.69;0.56;2.54;6.38;0.4;2.31;2.85;0.81;0.54;2.46;3.0;4.08;1.31;4.31;0.08;0.31;0.0;2.85;3.15;14.31
MORALES MARTIN, SILVIA;2007;EBE PROMOCIONES SANTA EULALIA;26.0;31.11;15.81;4.73;8.23;0.57;0.62;2.5;0.25;4.5;5.96;0.75;0.5;2.19;2.69;5.0;2.23;3.08;0.04;0.5;0.0;1.88;5.77;19.23
ALOY ATIENZA, MERCEDES;1998;POPULAR BASQUET GODELLA;23.0;31.09;11.57;1.96;4.65;0.42;1.22;3.0;0.41;4.0;5.17;0.77;0.96;2.09;3.04;0.65;1.17;1.87;0.3;0.26;0.0;2.26;3.74;10.43
SANTOS LUZ, SILVIA ANDREA;2002;C.B. PUIG D`EN VALLS SANTA EULALIA;11.0;31.09;12.55;3.73;6.0;0.62;1.45;4.45;0.33;0.73;1.0;0.73;0.27;2.45;2.73;1.64;1.64;2.0;0.0;0.09;0.0;1.64;1.0;10.27
GESTEIRA FERNANDEZ, LIDIA;2002;PERFUMERIAS AVENIDA;26.0;31.08;7.69;0.73;1.54;0.47;1.85;5.96;0.31;0.69;0.92;0.75;0.73;2.23;2.96;1.12;1.81;1.65;0.04;0.12;0.0;2.46;1.04;5.27
KIRETA, SONJA;2002;REAL CLUB CELTA BANCO SIMEON;26.0;31.08;17.38;6.46;13.92;0.46;0.0;0.31;0.0;4.46;6.08;0.73;2.73;5.58;8.31;0.69;0.92;3.73;1.42;0.27;0.0;2.0;5.58;18.92
ROMERO GONZALEZ, LETICIA;2011;GRAN CANARIA 2014 LA CAJA DE CANARIAS;25.0;31.08;7.0;2.2;4.56;0.48;0.44;1.4;0.31;1.28;1.64;0.78;0.76;2.36;3.12;2.28;1.48;1.96;0.16;0.24;0.0;1.72;2.16;8.6
GARCA SALINERO, LAURA;2010;CADI LA SEU D´URGELL;25.0;31.07;10.08;3.96;8.24;0.48;0.32;1.16;0.28;1.2;1.4;0.86;1.0;3.4;4.4;1.8;0.88;2.08;0.12;0.56;0.0;1.32;1.68;9.68
STALLWORTH, DENESHA RACHELL;2014;STAR CENTER-UNI FERROL;26.0;31.06;14.81;6.04;11.92;0.51;0.04;0.19;0.2;2.62;3.38;0.77;2.27;6.08;8.35;1.62;1.38;3.0;0.5;0.38;0.0;2.88;3.35;16.92
